Date,MACD.EU,MACD.EJ,MACD.EC,MACD.EA,RSI.EU,RSI.EJ,RSI.EC,RSI.EA,CCI.EU,CCI.EJ,CCI.EC,CCI.EA,Momentum.EU,Momentum.EJ,Momentum.EC,Momentum.EA
2017.11.09,-0.00562329,-0.07390672,0.00247877,0.00286863,38.1950992,46.58412442,54.50204494,50.34881044,-79.34769134,-73.40433085,-49.57233981,-55.39568345,99.51670916,99.41935338,99.72899496,99.28908706
2017.11.10,-0.00526448,-0.06817616,0.00247271,0.00328388,43.49853172,46.90291606,49.43195312,53.33445898,-21.31302614,-62.61227545,-119.0306486,5.63223621,100.3119668,100.0583448,99.81086286,100.2202206
2017.11.13,-0.00479093,-0.05222001,0.00248126,0.00429932,45.2755385,48.92930281,55.99247346,57.10075557,11.66315367,-30.2311825,-10.17406889,93.82913838,100.0661007,100.3573,100.1898647,100.5306405
2017.11.14,-0.00429034,0.06497891,0.00286014,0.00628635,46.30021062,50.12594026,57.28905217,60.24121369,46.48633176,-1.10860489,25.29317335,146.9429348,100.1777541,100.0407914,100.0818183,100.624026
2017.11.15,-0.00280583,0.09647118,0.00297601,0.00838336,58.01934953,59.90179753,62.12403496,66.04915403,320.1150697,249.0091161,159.6749925,265.746188,101.5040441,100.8820603,100.1192846,102.0998884
2017.11.16,-0.00167459,0.1172532,0.00339904,0.00973533,57.20130949,53.84953939,60.26881033,68.49244891,209.6317457,108.1026162,109.4063143,219.8375942,101.1419306,100.0827279,100.0643915,102.8130419
2017.11.17,-0.00093514,0.0590482,0.00334711,0.01124841,55.03952235,53.32546385,64.37960164,66.85949617,133.3880379,78.97673905,165.2367124,148.6820979,101.3216238,100.4425213,100.7250495,102.1592496
2017.11.20,-0.00020793,0.01245399,0.0032659,0.01196984,56.49619686,47.1212408,58.11990371,68.98730058,117.1900032,-58.01378539,64.423612,137.6845921,101.5265334,100.1250019,100.581596,103.1985316
2017.11.21,-0.00006658,-0.03663782,0.00301428,0.01197986,50.9441346,46.81770604,57.84066774,66.29988986,51.11916264,-60.14596679,52.27107822,97.93918203,101.2584805,100.0484647,100.5565238,102.5357225
2017.11.22,0.0000912,-0.11313268,0.00255145,0.0120905,51.49271406,45.71345697,54.98065961,62.80262869,47.89342511,-75.25786104,16.46668176,65.76526268,101.2421289,99.96439718,100.372674,102.562642
2017.11.23,0.00088066,-0.15167273,0.00227782,0.01218299,58.63620488,42.47906711,50.95919238,64.07412446,106.3371237,-132.1341328,-38.23208519,67.01678337,101.5515464,99.58349426,100.4283119,102.3893893
2017.11.24,0.00170853,-0.07763233,0.00250495,0.01307228,60.67718045,44.96951058,53.34958321,64.92515958,112.5951641,-78.9587156,-0.10954617,65.92113008,101.6428461,99.61071258,100.1378217,102.0082852
2017.11.27,0.00294473,-0.08742254,0.00263281,0.01358814,65.69575599,54.1780197,60.06381041,69.23132569,154.2925019,81.87491775,110.5181232,102.6725419,102.2132693,100.4100125,100.5576304,102.3009162
2017.11.28,0.00364678,-0.10885449,0.00249478,0.01332931,62.42064885,48.27136714,58.56365784,68.79011636,115.8683189,-30.65493071,77.94018439,95.34816983,100.8324291,98.76320863,100.0745712,101.2434657
2017.11.29,0.00369976,-0.07598375,0.00244276,0.01346123,56.51745216,47.01083639,54.94655114,63.92727269,59.15133855,-55.81492637,19.31468598,63.20088869,100.416497,99.16964742,99.96396396,100.3366982
2017.11.30,0.00376212,0.05904585,0.00272038,0.01406212,57.11860116,51.36120909,56.40087361,66.42612089,59.0394128,21.42344548,39.90828531,103.990178,100.6611149,99.6714508,99.70933215,100.895609
2017.12.01,0.00422042,0.12260413,0.0020988,0.01350952,61.23936063,59.43563636,60.98246293,69.33991991,107.1776308,156.1564847,148.8524693,154.9002245,100.9953162,101.3384987,100.4212351,100.9875433
2017.12.04,0.00420751,0.16581812,0.00224441,0.01286039,57.03449502,58.49466876,51.78637546,60.75605683,50.75118736,113.8076635,-62.71354787,35.99510479,101.114123,101.2791499,99.86785993,100.4550809
2017.12.05,0.00416301,0.18087388,0.00222921,0.01165243,57.16643966,55.01242372,56.57321786,60.93531444,46.45786726,76.85707128,74.99690441,31.65613148,101.0786402,101.0495207,100.421999,100.8137117
2017.12.06,0.00376241,0.13412984,0.00219907,0.01096173,53.06823469,53.30144524,55.12344898,56.43710444,-11.58356052,52.6279176,36.05936217,-50.38363171,100.0262254,101.2304089,100.5729548,100.1649846
2017.12.07,0.00316955,0.1504628,0.00238414,0.01092427,50.20734055,48.18546479,55.2331951,58.74592413,-59.51086122,-18.38868588,47.35945486,0.46908716,99.54423072,100.4591055,100.4197777,100.3398165
2017.12.08,0.00248706,0.1944107,0.00231131,0.01077361,48.06870903,53.06466011,57.87139628,62.27364569,-90.03475031,51.28566654,103.3510012,88.27710999,98.71773368,100.1120486,100.1069711,100.0996506
2017.12.11,0.00185939,0.23484383,0.00215372,0.01023684,47.30177227,55.68480916,57.16162316,61.62193403,-111.7049681,81.50940762,78.02034165,67.71783086,98.89197142,101.0623567,100.1524573,100.0773212
2017.12.12,0.00138393,0.23831886,0.00176718,0.00887799,47.81935833,56.10034924,53.70790424,59.50426756,-114.5742561,77.42033017,8.669544,21.86830015,99.4086789,101.2586099,100.1665122,100.2977126
